"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Properties", "Markdown", "YAML", "TypeScript JSX", "Gradle", "Java Properties", "Batch", "Objective-C", "C++", "Objective-C++", "XML", "Kotlin", "Swift", "comment", "blank", "total"
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/.eslintrc.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/.prettierrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/.watchmanconfig", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/.yarn/releases/yarn-3.6.4.cjs", "JavaScript", 565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266, 44, 875
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/.yarnrc.yml", "YAML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/README.md", "Markdown", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 81
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/__tests__/App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 18
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 61, 10, 119
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/src/main/java/com/propertyrentalapp/MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 8, 4, 26
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/src/main/java/com/propertyrentalapp/MainApplication.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 3, 9, 44
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/src/main/res/drawable/rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 23, 3, 38
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 10
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/app/src/main/res/xml/network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 26, 9, 40
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 30, 22, 93
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/link-assets-manifest.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/android/settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/app.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/babel.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 9
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/File.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 2, 9
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/Geolocation.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 2, 9
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/link-assets-manifest.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/propertyRentalApp-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/propertyRentalApp/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/propertyRentalApp/AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 7, 31
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/propertyRentalApp/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/propertyRentalApp/Images.xcassets/Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/propertyRentalApp/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 1, 54
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/propertyRentalApp/main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/ios/propertyRentalAppTests/propertyRentalAppTests.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 14, 67
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/jest.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/metro.config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 30
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/package-lock.json", "JSON", 0, 12721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12722
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/package.json", "JSON", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/react-native.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/App.jsx", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/NavigationStacks.jsx", "JavaScript", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 237
